d,n,lamb,pp_baseline_test_mean,reg_pp_baseline_test_mean,reg_jorg_baseline_test_mean,pp_train_mean,pp_test_mean,jorg_train_mean,jorg_test_mean,jorg_baseline_test_mean,pp_train_std,jorg_train_std,pp_baseline_test_std,reg_pp_baseline_test_std,pp_test_std,reg_jorg_baseline_test_std,jorg_baseline_test_std,jorg_test_std
30,100,0.01,746048809059.7769,0.0003333333333333334,0.0003333333333333338,727882936.1176571,710636298.7654449,929349868.2467601,907422091.4540799,728959790496.1992,809049869.5620731,1085138192.5655835,846013410466.9802,1.0842021724855044e-19,804486954.8558027,0.0,809821502525.9866,1075606589.3312037
30,100,0.1,1031716883.7710912,0.0033333333333333344,0.003333333333333339,991620.6364142961,975357.4353101783,1030015024.1114662,1012264647.0143801,1002054270.7870806,909331.3841592397,929440253.3706188,978552239.2588339,4.336808689942018e-19,912816.1501843804,8.673617379884035e-19,918468354.5708746,923300930.8866745
30,100,0.5,17887409.390677575,0.01666666666666667,0.01666666666666669,17523.621157807112,17366.774407457782,18114961.771138817,17942995.8715875,18063451.239198364,10024.764544684715,10359872.462317409,10130644.654965904,3.469446951953614e-18,9918.824088417781,0.0,10489630.562611496,10361724.161016207
30,100,1.0,3908381.297999626,0.03333333333333334,0.03333333333333338,3809.8220223179073,3789.9628044720284,3950185.2933748206,3929756.252983276,3941538.457735168,1741.388791120848,1843596.1661786013,1780685.7541598834,6.938893903907228e-18,1731.4494451743133,0.0,1837508.7831269202,1837805.6867111013
30,100,3.0,453256.93206115416,0.10000000000000007,0.1000000000000001,438.0616190589916,437.1181168413685,456586.1085021573,455679.7290951629,454566.5801681664,167.93951008454798,176996.7969777882,175259.22056174566,4.163336342344337e-17,167.6498342386924,4.163336342344337e-17,175556.95830253125,176590.70320204768
30,100,5.0,178810.52175250062,0.1666666666666668,0.16666666666666693,172.89245710396628,172.66725212826836,181150.61426397166,180891.58802339074,178618.46589446522,64.7860510327494,67793.25465415366,67573.24882107151,5.551115123125783e-17,64.69313952328342,2.7755575615628914e-17,67163.45856309576,67648.55527092924
30,100,10.0,54620.134844412925,0.3333333333333336,0.33333333333333387,52.65604527466919,52.61541629330877,54605.865034025934,54562.53203493203,54458.50908733391,19.323378500689454,20138.15688680682,20093.914819020058,1.1102230246251565e-16,19.306508386614237,5.551115123125783e-17,20185.553068691108,20114.69335999086
30,100,15.0,28136.975414401353,0.5000000000000001,0.5000000000000008,26.94271834933363,26.93151975096696,28092.619341672333,28077.033908277608,28183.861296750296,9.907392656960317,10524.890533654745,10329.95932419647,1.1102230246251565e-16,9.903903033684376,1.1102230246251565e-16,10489.682265448084,10517.0314702742
30,100,20.0,17773.453552329152,0.6666666666666672,0.6666666666666677,17.186339239106896,17.181692967010967,17963.46446349286,17956.945650553425,17748.441666963245,6.3784178870396,6590.239220609742,6528.112374516645,2.220446049250313e-16,6.376662492784418,1.1102230246251565e-16,6511.623144549772,6587.074660528028
30,100,25.0,12579.161056472512,0.8333333333333337,0.8333333333333343,12.170065086449522,12.168100145736338,12543.761572127567,12539.822236738386,12603.307692234514,4.499915752048317,4648.0389821761655,4547.215347105246,0.0,4.499167510216971,3.3306690738754696e-16,4629.493077479593,4646.978537553924
30,100,50.0,3654.586407912893,1.6666666666666674,1.6666666666666685,3.503594057865026,3.5044254953666147,3647.065647352579,3646.415861501985,3681.2838887003354,1.2948610140153165,1351.5686302715112,1347.5207550065327,0.0,1.2946856812714331,6.661338147750939e-16,1351.7718185710414,1351.2045170870272
30,100,75.0,1865.6879140535168,2.5000000000000004,2.500000000000003,1.773383893289987,1.7744647724425406,1861.183189126879,1860.9861326933035,1853.292840770175,0.6436611426994071,694.5152075746469,692.9738340186872,4.440892098500626e-16,0.6435294761256964,4.440892098500626e-16,687.439219811208,694.4267968893038
30,100,100.0,1198.9125622291224,3.333333333333335,3.333333333333337,1.1557804873289013,1.1569463430952047,1190.7081592069817,1190.6029192992312,1199.7834295769171,0.4190376025829413,435.9437075794988,440.8376995315081,0.0,0.4189944161714718,1.3322676295501878e-15,433.49420968043745,435.8991897092096
30,100,200.0,469.8436060131507,6.66666666666667,6.666666666666674,0.45578936441418716,0.4570306171453518,468.21719585663527,468.2020569400385,468.7927374209413,0.16649359174947334,173.2967980574309,173.77166099026218,0.0,0.16648842065008052,2.6645352591003757e-15,172.2458014752902,173.29012720743935
30,100,300.0,284.3503722026919,10.000000000000002,10.000000000000012,0.27805299335153094,0.279308949493622,286.33303438688324,286.3279303376787,285.4663567381948,0.10014684097062584,105.01788427178352,105.23302651064878,1.7763568394002505e-15,0.10014311025301927,1.7763568394002505e-15,102.34498749597536,105.01599653711979
30,100,400.0,205.67303610778745,13.33333333333334,13.333333333333348,0.199191772898441,0.20045068932505242,204.76366283299336,204.76142514494845,203.8473881916156,0.07270450825599038,75.55013212470766,76.05595402716212,0.0,0.07270229001302424,5.329070518200751e-15,75.35430481296058,75.54880476020729
30,100,500.0,159.15265513531455,16.66666666666668,16.66666666666669,0.15591696620942175,0.15717829181648152,159.00309980984494,159.00208911869373,158.90321568677408,0.05630178116909001,58.908668411816286,58.54432647984026,3.552713678800501e-15,0.056300498117581234,0.0,59.21974155195917,58.907669036606755
30,100,600.0,130.10182654921311,20.000000000000004,20.000000000000025,0.12760968516173443,0.12887114930597024,130.7430085237833,130.742769612046,129.67280401716053,0.04541176267956577,48.60438973135513,47.84601629239053,3.552713678800501e-15,0.0454091602997542,3.552713678800501e-15,47.627589273661975,48.603596396865356
30,100,700.0,109.73530972928188,23.33333333333335,23.333333333333368,0.10863839368009767,0.10989856392626916,109.58520581236472,109.58518813391039,110.36913791203028,0.03884030825816325,40.018552127512905,40.4118533000005,7.105427357601002e-15,0.03883904286294708,0.0,40.24585201683121,40.01797477070898
30,100,800.0,95.71819077525075,26.66666666666668,26.666666666666696,0.09453634267423654,0.09579794372874599,95.23199923586435,95.23238524525506,95.41406106506135,0.03384587197240214,35.104002162355755,35.18371547723134,0.0,0.033847383584665346,1.0658141036401503e-14,34.896204949679856,35.10377875894053
30,100,900.0,84.15874422640465,30.000000000000007,30.000000000000053,0.0839926738714367,0.08525404173174639,84.29481968906671,84.29536883397107,84.15502033644931,0.030164626031872806,31.055046061950407,31.192949778995118,3.552713678800501e-15,0.030164936423466623,1.0658141036401503e-14,31.14905756517429,31.054840901033344
30,100,1000.0,74.93821353875072,33.33333333333336,33.33333333333338,0.0753759344652092,0.0766382269018395,74.88826770954415,74.88883440090034,75.00384717615273,0.02688131938573734,27.55197431019052,27.8965522685723,7.105427357601002e-15,0.02688095333778025,0.0,27.887557698287274,27.551693260257675
30,100,1500.0,49.26131411243901,50.00000000000001,50.00000000000008,0.05015100569930878,0.05141337538063151,49.216882451381395,49.217856440624196,48.92272885073378,0.017503218484598848,17.758244628780105,18.084141699917424,1.4210854715202004e-14,0.017503767440271597,7.105427357601002e-15,18.090554832180853,17.758078063579006
30,100,2000.0,36.56548227567538,66.66666666666671,66.66666666666676,0.03788269873967993,0.03914545360682018,36.53506772130182,36.536195925573566,36.49792736334027,0.012946022776622514,13.468103333837245,13.473327530742191,1.4210854715202004e-14,0.012946668954929559,0.0,13.406041520127486,13.468074316929382
30,100,2500.0,29.061249500233775,83.3333333333334,83.33333333333347,0.03084763670963807,0.03210978465472711,29.091370017204493,29.092537938210974,29.19395054589706,0.01024779400462866,10.592495244006358,10.841261861918456,2.842170943040401e-14,0.010247718426342409,1.4210854715202004e-14,10.720800739789075,10.592459481661907
30,100,3000.0,23.99363227587669,100.00000000000001,100.00000000000016,0.026137356864366156,0.027400102303364433,24.050505054400396,24.05170272735996,23.97664319378618,0.008576176859612582,8.861899672556847,8.90621221558601,2.842170943040401e-14,0.00857622777476279,1.4210854715202004e-14,8.837089079911557,8.861890276203654
30,100,3500.0,20.53928833868729,116.66666666666671,116.66666666666679,0.022594986190681437,0.023857610424067466,20.5623337698969,20.563557121615947,20.626843608066295,0.007318793907428409,7.590885402727696,7.597579221683173,0.0,0.007318858137558667,5.684341886080802e-14,7.573308769256149,7.590872292420744
30,100,4000.0,17.97538427969587,133.33333333333343,133.3333333333335,0.020000069394316342,0.021262566022196575,17.965854996354633,17.967083561581838,18.06671866755322,0.006266317843313683,6.678657424592713,6.610743490944459,2.842170943040401e-14,0.006266190264740319,0.0,6.659185316667526,6.678652367130406
30,100,4500.0,16.02131047806057,150.00000000000003,150.00000000000023,0.01823464631765209,0.019496783845071794,15.952751180628676,15.953988195434414,16.038105777043487,0.005682043740646398,5.938994718583968,5.847139758215111,2.842170943040401e-14,0.005681969354930363,0.0,5.84535764883495,5.938985056161749
30,100,5000.0,14.38691830922379,166.6666666666668,166.66666666666694,0.016523509478297168,0.017785955762705193,14.270201010631647,14.271449453762173,14.242681692417687,0.004993538114096258,5.204221189858903,5.248859265891579,5.684341886080802e-14,0.004993604723850559,2.842170943040401e-14,5.2278339039724,5.20422310185639
30,100,5500.0,13.056927991734902,183.33333333333343,183.33333333333354,0.015399839197229096,0.01666213809132134,13.038483219500662,13.039725196251588,13.036051965538457,0.004719804507081089,4.766633624613362,4.772106980310883,2.842170943040401e-14,0.004719918054197521,5.684341886080802e-14,4.775954891986551,4.766621205880396
30,100,6000.0,11.897317230738427,200.00000000000003,200.0000000000003,0.014281190893977443,0.01554354380820414,11.988187430551653,11.989433937892716,11.902632759014214,0.004239952053508641,4.379957879297578,4.3358188087360325,5.684341886080802e-14,0.004239992977758001,2.842170943040401e-14,4.348603927206083,4.379956460906011
30,100,6500.0,10.913981206581017,216.6666666666668,216.66666666666697,0.013382668975642378,0.014645040189829112,10.984818968104486,10.986073345669219,11.011352969106975,0.0038734800547436062,4.046145746373613,4.010492644386687,5.684341886080802e-14,0.0038733097260662255,0.0,4.0292894448678584,4.046143037403862
30,100,7000.0,10.250422166202185,233.33333333333343,233.33333333333357,0.01260494489585335,0.013867338734784894,10.27715829509329,10.278406286370416,10.14462808110216,0.0035773345491574376,3.813029237762235,3.7291029294106153,0.0,0.003577258213450748,1.1368683772161603e-13,3.6951706218807265,3.8130258786607323
30,100,7500.0,9.44223727155425,250.00000000000006,250.00000000000043,0.011986021736362448,0.01324845153746849,9.537451937959078,9.538702050657632,9.551940894656006,0.003328998389856708,3.4959477352849975,3.470892586009565,5.684341886080802e-14,0.003328765032576683,5.684341886080802e-14,3.536236221904795,3.4959436135730697
30,100,8000.0,8.87862959972096,266.66666666666686,266.666666666667,0.011407565981765034,0.012669948293575286,8.93498227453609,8.93623845666006,8.906211089983305,0.003148597244551299,3.3110623122494833,3.2834361788617725,5.684341886080802e-14,0.003148706044433713,0.0,3.2792311669415293,3.3110604818288314
30,100,8500.0,8.33216096894967,283.3333333333334,283.3333333333338,0.01088369861471383,0.012146152112425049,8.43881362393205,8.440069381551952,8.403587613797024,0.00300178939202618,3.12979017631462,3.07069852914752,0.0,0.0030019733085438773,5.684341886080802e-14,3.072543243385876,3.129793949883656
30,100,9000.0,7.873812245793878,300.00000000000006,300.00000000000045,0.01042968103191474,0.01169201186807968,7.91177620557652,7.913034042468795,7.975159966818048,0.002790862528318617,2.920504199763373,2.8827728147208744,5.684341886080802e-14,0.002790945356412238,0.0,2.935346611105936,2.920499905605139
30,100,9500.0,7.4902819146927895,316.66666666666686,316.6666666666671,0.010043346964384744,0.011305743496546726,7.513492999101436,7.5147488151253174,7.4887194236005135,0.0026581684703394512,2.766634678557431,2.728986601718198,5.684341886080802e-14,0.0026582244748193334,5.684341886080802e-14,2.7464332900719053,2.7666310050799994
30,100,10000.0,7.068818453377918,333.3333333333336,333.3333333333339,0.009677197116805834,0.010939444097710836,7.133334664413331,7.134593831870254,7.11623339951646,0.002470696765766007,2.6327765861418193,2.5930550910755947,1.1368683772161603e-13,0.002470705410291308,5.684341886080802e-14,2.6271461215472716,2.6327818249086343
30,100,10000.0,7.126933933278035,333.3333333333336,333.3333333333339,0.009644329103464232,0.010906662444038142,7.092157557195245,7.093413818622636,7.125311719334819,0.002535740160005439,2.593218003545652,2.5848071538914756,1.1368683772161603e-13,0.0025357726361115835,5.684341886080802e-14,2.607355321142055,2.5932185815489195
30,100,11000.0,6.464252842916885,366.66666666666686,366.6666666666671,0.009051060021906289,0.010313405910184571,6.4767274780022985,6.4779863925521655,6.483429301569855,0.0023468043418465212,2.4043320774594004,2.37516343511436,5.684341886080802e-14,0.0023469707520661536,1.1368683772161603e-13,2.3672842131745138,2.4043306070394865
30,100,12000.0,5.93540095966394,400.00000000000006,400.0000000000006,0.008555379184933931,0.009817698647860036,5.892329416998417,5.893592054455395,5.899767408849035,0.0021052497295534645,2.1781943671588193,2.179822194224877,1.1368683772161603e-13,0.0021052046309487423,5.684341886080802e-14,2.1404225285414804,2.1781974179772794
30,100,13000.0,5.45408822552308,433.3333333333336,433.33333333333394,0.008082157558975973,0.009344477083209629,5.440948941242679,5.442206247448459,5.456317588249667,0.001955160654022742,1.9863889465028572,1.9895308379117906,1.1368683772161603e-13,0.0019553103349085983,0.0,2.001045096486427,1.9863884133680674
30,100,14000.0,5.086510030060654,466.66666666666686,466.66666666666714,0.007714066106915505,0.00897639402186728,5.027622233646727,5.028882985070176,5.081746444573627,0.0017944353354458324,1.833130637877597,1.8721850280959837,0.0,0.0017944567187685287,2.2737367544323206e-13,1.8946266192952133,1.8331284846944929
30,100,15000.0,4.738897743275376,500.0000000000001,500.00000000000085,0.007393292657238075,0.008655639625362982,4.7560285105327464,4.7572884615829185,4.724719220761726,0.0016910140606377127,1.726357562443537,1.7328034659507145,1.1368683772161603e-13,0.0016910990135010817,1.1368683772161603e-13,1.7527885371596466,1.7263572225669717
30,100,16000.0,4.461589953744973,533.3333333333337,533.333333333334,0.007100782990748013,0.008363074886699498,4.423853313644282,4.425112127456025,4.44767830526944,0.0015823838263434198,1.6493158903192617,1.6307816686275405,1.1368683772161603e-13,0.001582362395582157,0.0,1.646658603710768,1.6493130389669088
30,100,17000.0,4.179876447615945,566.6666666666669,566.6666666666677,0.0068657113907398684,0.008128038266393791,4.181837877795858,4.183098874448572,4.173766537069791,0.001488529170530993,1.5409971493709553,1.5433557401711246,0.0,0.0014885442360251103,1.1368683772161603e-13,1.5415090597091041,1.5409980505989291
30,100,18000.0,3.9510470261343174,600.0000000000001,600.0000000000009,0.006612883420630124,0.007875215433741131,3.95725108231995,3.9585120695745135,3.9663689327563594,0.001378175337193886,1.4547718675673653,1.4507882541811485,1.1368683772161603e-13,0.0013781343962643111,0.0,1.4646954644835213,1.4547710496334614
30,100,19000.0,3.7222750445813815,633.3333333333337,633.3333333333342,0.006436214724068512,0.007698525336547073,3.744337030899524,3.7455972984732115,3.727209787654715,0.0013166759358743006,1.3828482412913479,1.3607820429649202,1.1368683772161603e-13,0.0013166828006233606,1.1368683772161603e-13,1.3687914652548352,1.3828468898026478
30,100,20000.0,3.5621993293384455,666.6666666666672,666.6666666666678,0.006259441772540424,0.0075217484348777406,3.5385969980813674,3.539859569321123,3.5490744316407725,0.0012774398415884849,1.3049844910782784,1.2846814666945243,2.2737367544323206e-13,0.0012774146058344084,1.1368683772161603e-13,1.2986754809002983,1.304984362029217
30,100,21000.0,3.384577144093665,700.0000000000001,700.0000000000013,0.006077500794893873,0.0073397944032158845,3.375414906939098,3.3766746697500314,3.37436680816079,0.0011969009210774327,1.2378003335319105,1.249472465948319,1.1368683772161603e-13,0.0011968541716950948,2.2737367544323206e-13,1.2354610446403578,1.237799849794549
30,100,22000.0,3.221177768300293,733.3333333333337,733.3333333333342,0.0059121205413944665,0.007174456158722099,3.2259000361110783,3.227159364085608,3.2522055714483584,0.0011468847520779155,1.1982972456656875,1.1903382916122778,1.1368683772161603e-13,0.0011468947256805648,2.2737367544323206e-13,1.19917002995819,1.1982938220228134
30,100,23000.0,3.0903842223441838,766.6666666666672,766.6666666666678,0.005783939232499861,0.007046241176749225,3.0689509329080167,3.0702105259723345,3.085256655820605,0.0010948050356445536,1.1240174246724786,1.1242811170685678,2.2737367544323206e-13,0.0010948190071258662,0.0,1.1394494765931562,1.1240155539890835
30,100,24000.0,2.957378826992201,800.0000000000001,800.0000000000013,0.005660031393089723,0.006922297625604143,2.9419492806696765,2.9432111687855063,2.958613354230793,0.0010414175023007934,1.084170148388072,1.0982914098120915,2.2737367544323206e-13,0.001041383100127475,1.1368683772161603e-13,1.0749901026961777,1.0841719535161296
30,100,25000.0,2.8485888936272916,833.3333333333337,833.3333333333344,0.005572767107222454,0.0068350136950026015,2.8207116440820847,2.821975536106196,2.8597823839378833,0.0010241253139442281,1.0166588273955388,1.051842388095658,0.0,0.0010241501136898634,1.1368683772161603e-13,1.057720373151567,1.0166584445566327
30,100,26000.0,2.7303594482859066,866.6666666666672,866.6666666666679,0.005457951570433327,0.00672026264352842,2.723722473379692,2.7249844913217487,2.7282703170622686,0.0009653116722599448,0.9910249064361376,1.0033600682844719,2.2737367544323206e-13,0.0009653504296831985,0.0,0.9992117972966613,0.9910259475320341
30,100,27000.0,2.635394529072081,900.0000000000002,900.0000000000013,0.005336474870345042,0.0065988029585167095,2.6243092469692755,2.625569825200353,2.6186807865393136,0.0009309833022350895,0.9609883841930166,0.9700615449337903,1.1368683772161603e-13,0.0009309899401820195,0.0,0.9638329836232771,0.9609877364509131
30,100,28000.0,2.52109518917543,933.3333333333337,933.3333333333343,0.0052832770970959115,0.0065455675304748355,2.543791002946232,2.545052403700706,2.5482261911337005,0.0009197573348768898,0.9374546922510346,0.92256376323719,0.0,0.0009197333460647565,4.547473508864641e-13,0.9461940097459463,0.9374538127790432
30,100,29000.0,2.4473476969983867,966.6666666666673,966.6666666666679,0.005166395342345587,0.006428725394333089,2.452722223382245,2.453983344775276,2.4509613214363295,0.0008603496530493664,0.9014180120169777,0.9064921221517829,2.2737367544323206e-13,0.0008604002908342932,2.2737367544323206e-13,0.8959704313849364,0.9014170389049978
30,100,30000.0,2.370257403876334,1000.0000000000002,1000.0000000000017,0.005099357259358504,0.006361628032213248,2.360634722383962,2.3618963512372186,2.3701997948344835,0.0008360348571662575,0.8616520431647088,0.8677811377087438,2.2737367544323206e-13,0.0008360242235809327,2.2737367544323206e-13,0.8753030837660953,0.8616522980711636
30,100,31000.0,2.314150986217107,1033.3333333333337,1033.3333333333353,0.005033809703190521,0.006296115928885332,2.2981840651946324,2.299445075529554,2.291381713246295,0.000810507092684314,0.8537361875668472,0.8558137433571101,0.0,0.0008105541694590153,4.547473508864641e-13,0.8514511485698439,0.8537367397312513
30,100,32000.0,2.2172216024551266,1066.6666666666674,1066.666666666668,0.004969179274700151,0.0062314949703462085,2.2239902866073984,2.225252657685571,2.211761816558148,0.0007879221028763793,0.8190422639709558,0.8110978953755758,2.2737367544323206e-13,0.0007879004948768943,0.0,0.8173413459951596,0.8190417325283215
30,100,33000.0,2.1517903215068834,1100.0000000000002,1100.0000000000016,0.004890921941282083,0.006153202750372479,2.154267913904677,2.155530886828234,2.146091167812268,0.0007524935080076882,0.7953008337888688,0.7905446798070123,2.2737367544323206e-13,0.000752449768081361,0.0,0.7841546316938229,0.7953020155866771
30,100,34000.0,2.0818612803600796,1133.3333333333337,1133.3333333333353,0.004837013452230423,0.0060993399487354995,2.0923385923569513,2.093600103641437,2.102096659830739,0.0007489536681726134,0.7738718332273082,0.7619795601472306,0.0,0.0007489930116572368,2.2737367544323206e-13,0.7839737979656282,0.7738711507414674
30,100,35000.0,2.0409794439839977,1166.6666666666674,1166.666666666668,0.004769804726181478,0.0060321196899720455,2.031772326634506,2.0330353085640773,2.031632631286774,0.0007112146346298998,0.7452752071868347,0.7489128566012171,2.2737367544323206e-13,0.0007112045916413621,2.2737367544323206e-13,0.7446211434635753,0.7452763283924101
30,100,36000.0,1.982384395204588,1200.0000000000002,1200.0000000000018,0.004721828419716836,0.005984159363630617,1.9755712939905392,1.9768343715940595,1.9683465782854674,0.0006957290994402357,0.7251738263084784,0.7280385822430412,2.2737367544323206e-13,0.0006957517891965574,0.0,0.7282786853535228,0.7251734448919921
30,100,37000.0,1.9261754489061713,1233.333333333334,1233.3333333333353,0.0046794424901854285,0.005941706113207315,1.9297700707090126,1.931031987826468,1.8998234627490302,0.0006857600356131326,0.7186110962103694,0.702678863426758,0.0,0.0006857739315051645,2.2737367544323206e-13,0.6911048627885096,0.7186117955762336
30,100,38000.0,1.866914283801907,1266.6666666666674,1266.6666666666683,0.004607672494588667,0.00586990953160975,1.8633938071678797,1.8646565124500791,1.8718678944707634,0.0006605845289639049,0.6890691179092938,0.6776608536499658,2.2737367544323206e-13,0.0006605802688386494,2.2737367544323206e-13,0.681995721090705,0.6890683588184833
30,100,39000.0,1.819686426246625,1300.0000000000002,1300.0000000000016,0.004582674993943685,0.005844982585843185,1.8283806188205454,1.8296422958159273,1.8348159170631835,0.0006471005535675328,0.6683809261576054,0.6617261295134205,2.2737367544323206e-13,0.0006471713261737987,2.2737367544323206e-13,0.6827517403530463,0.6683808407377291
30,100,40000.0,1.7796830802584112,1333.3333333333344,1333.3333333333355,0.004533923137158516,0.0057962202902699335,1.7678943019155904,1.7691561069390886,1.7749929328394078,0.0006341103321764189,0.6520495327325349,0.6527229275567316,4.547473508864641e-13,0.000634102336748606,2.2737367544323206e-13,0.6509095791012003,0.6520486310608663
30,100,41000.0,1.7298641605442784,1366.6666666666674,1366.666666666668,0.004489274052386809,0.0057515366598244735,1.7267100518023937,1.727972197425974,1.7362048576545854,0.0006023811288965829,0.6486157520993447,0.6313585631385786,2.2737367544323206e-13,0.0006023478437570236,4.547473508864641e-13,0.648215173781719,0.6486158593312
30,100,42000.0,1.6814979566657782,1400.0000000000002,1400.0000000000025,0.004448942352740574,0.005711241613396228,1.6814613390981907,1.682723797879678,1.6835059335155922,0.0005952308933102749,0.622745907244987,0.6275186817946605,2.2737367544323206e-13,0.0005952380251436788,4.547473508864641e-13,0.6243089351711616,0.6227464490220874
30,100,43000.0,1.6430300724046067,1433.3333333333344,1433.3333333333355,0.004409590110253484,0.0056718901755980315,1.6448171638425884,1.6460790632508087,1.6573960827031926,0.000589313346871604,0.6058971496236291,0.5978053752461692,4.547473508864641e-13,0.0005893046218307577,2.2737367544323206e-13,0.6132178811967438,0.605896259254392
30,100,44000.0,1.629352814494082,1466.6666666666674,1466.6666666666683,0.004378759671088694,0.005641039211164155,1.6092421969703286,1.6105049091370716,1.6213642458071074,0.0005740635018779528,0.5986716789588876,0.5968342131710873,2.2737367544323206e-13,0.0005740996361304771,4.547473508864641e-13,0.6053109596289578,0.5986725676866745
30,100,45000.0,1.5784869521062064,1500.0000000000002,1500.0000000000025,0.004344783369284317,0.005607078625254526,1.5852640459278748,1.5865263661765423,1.5809542845842093,0.0005615505453378423,0.5865932654909952,0.5831274991068865,4.547473508864641e-13,0.0005615595615779318,2.2737367544323206e-13,0.5803078614195928,0.5865942237934904
30,100,46000.0,1.5425102790969494,1533.3333333333344,1533.3333333333355,0.004316459535237852,0.00557876302270417,1.539899670039855,1.5411618822555024,1.5448648326600436,0.0005457139021001308,0.5634843491052931,0.5648973861829547,4.547473508864641e-13,0.0005457260098457636,0.0,0.5681842781049532,0.5634837968460934
30,100,47000.0,1.5035037675641765,1566.6666666666674,1566.6666666666688,0.004278247061418734,0.005540521779312594,1.5129677629972809,1.5142306145770041,1.5075232661913307,0.0005300063259942884,0.5525534423591647,0.5583266634401424,2.2737367544323206e-13,0.0005299793689811981,2.2737367544323206e-13,0.5518169850479897,0.552552948332249
30,100,48000.0,1.4805990289507889,1600.0000000000002,1600.0000000000025,0.004239409676475826,0.005501695590856515,1.464267899029365,1.465529704093417,1.4828118053256494,0.0005165764364919715,0.5317720286131398,0.5497487986369014,4.547473508864641e-13,0.0005165845548077373,2.2737367544323206e-13,0.5468336085956064,0.5317714425496136
30,100,49000.0,1.455645857437599,1633.3333333333344,1633.3333333333358,0.004210269795492749,0.00547256941664158,1.4490147294131581,1.4502769561852624,1.4543152907124677,0.0005130663905650203,0.5238675215309779,0.5302840671774425,4.547473508864641e-13,0.0005130524013822453,0.0,0.5337052984942552,0.5238662282769562
30,100,50000.0,1.4203756420965143,1666.6666666666674,1666.6666666666688,0.0041938754160767205,0.0054561723725367875,1.4213103640283298,1.4225717666093918,1.4246487823137264,0.0005029764336523762,0.5243628324849963,0.5239023548212078,0.0,0.0005029969805077128,2.2737367544323206e-13,0.5233511276733486,0.5243637153224137
